,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
theta,0.584860611473565,0.024344354431252425,0.5449784567451682,0.624499582109064,1765.326003939831,1260.654531007412,1.003087709126805,0.0005775862137204858,0.0005785495838821421
k,149.39694512764643,4.635344344578839,141.78172122132312,156.8081047541582,2295.9553543433813,1080.7129034881982,0.9997937110481521,0.0968048388946563,0.11050192453829384
s,1.976131581037169,0.07809105128052878,1.8527944014527424,2.106107931504012,1918.6743940985377,1302.2253454323254,1.0015968741923351,0.0017986817275709168,0.0019999102005734755
phi,0.8517885424507158,0.01097472859434014,0.8334923237457403,0.8686068965116595,1642.2329550505435,1303.438019236591,1.0048493927123097,0.0002732500386406071,0.0002486283754231718
gamma,3.00652507768742,0.13364395498529433,2.802914085389707,3.2169982152335654,1891.081252812738,1429.5981370226411,0.9997470132885403,0.0030740886402827565,0.002968420995317289
q,0.12493128498679001,0.0215266612049071,0.09449055953394193,0.16189754207294252,1993.3600860224892,1440.317192019877,1.0033479589781646,0.00047821899428627737,0.0005372989948395808
lam_direct,0.6998438003775107,0.0068682637847124915,0.688986107001855,0.7110295089993238,2292.307035740935,1555.3786704277181,1.0013378276608587,0.00014363273461598578,0.00015120643496767378
lam_organic,1.2847163295069846,0.0073432445478484884,1.2732260602665415,1.2961641150132006,1929.1871121840563,1536.1022194098932,1.0008216901040738,0.00016730787602747374,0.0001508447881522328
lam_recall,0.4799724578057947,0.00716045859092681,0.4686966037379877,0.4914544333452987,2352.109747204372,1576.944107722782,1.0017865057211488,0.00014776318164387803,0.00017322067896651812
r_branded,0.2536462807130884,0.027515835412560283,0.2123662749665982,0.30020703796401693,1900.8756236080396,1488.0127975732232,0.9991921542649435,0.0006300756191900674,0.0005941605229982271
r_direct,0.5920573658496732,0.05318697163244818,0.5115792458467048,0.6824241442712493,2174.137183124964,1598.3437258343904,1.0011236698982156,0.0011492188718475104,0.001178415075906126
r_organic,0.44088364273814623,0.04945946690924361,0.3663520015065734,0.5229072140111642,2135.1957769325395,1527.118478864691,1.0025932714747958,0.0010707307035769486,0.0013054783306202127
r_recall,0.7766078801667097,0.06566391447555142,0.6751512351130091,0.8842985662235412,1773.68151939512,1303.2955120771255,1.0041276460058486,0.0015385548186754416,0.0017454854853216895
