,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
theta,0.2697875747085602,0.10829031407822187,0.11498679636206269,0.4712248646120844,543.0092303744232,620.4317624723958,1.008912815554492,0.004796251688470129,0.0033452203248858304
k,77.82641827369918,31.754219480184435,51.181057754890595,130.87509164978727,425.4534285684813,409.7295696384281,1.0110280948309787,1.802677292668664,3.3249710225595583
s,2.447079016036223,0.4776813935513297,1.7597689899393971,3.230489588537931,503.7992948408416,442.97325821277997,1.0082003893911617,0.020094576273069212,0.012619049356797299
phi,0.883560528348243,0.012055954705949813,0.8638892487235277,0.8999051985348949,649.4840463921589,678.4711498148973,1.0069343796720487,0.0005053194191734718,0.000500475894783892
gamma,2.121507329200245,0.6775809560370709,1.4818883785716603,3.2074151854550923,447.83887507426726,403.5669515885251,1.0091643157999757,0.036511722115842464,0.07632062536975272
q,0.09346401335517382,0.021714552430983122,0.06282193469437507,0.12876011412180707,985.3521171365429,1088.6846848837586,1.0023297222903695,0.0007001842573754435,0.0006446879915859668
lam_direct,0.699851643624555,0.006834093861190003,0.6888040248192687,0.7109184935059903,1657.6474958344618,1499.6699535313257,1.0026091346786967,0.00016811660238919964,0.00012873360204340893
lam_organic,1.2848883364137207,0.00758233029919699,1.2727804435882035,1.297091097385858,1587.0700692785053,1692.3747136756251,1.0035222253373024,0.0001900565737026729,0.00014548183787754289
lam_recall,0.48010741284265146,0.0075743732330984335,0.46803032968345953,0.4919822387311414,2074.3808246452186,1502.1432972770317,1.000274215613295,0.0001654323427443014,0.00016527262544355518
r_branded,0.2639491648843938,0.02753736482549287,0.22263768119742056,0.31059050978114405,1888.167401238773,1419.4205157521412,1.0003999286262708,0.0006353738417966358,0.0006654439026984603
r_direct,0.5977640322638879,0.05317626222905428,0.519602543780369,0.684157383261381,1719.089095749434,1408.8337911907258,1.0018080599329904,0.0012911938027915792,0.0012300625028301016
r_organic,0.459361547166811,0.048337318291711416,0.3875490847530682,0.5402663595426311,2024.6623729447886,1623.7318745535833,1.0006858583996836,0.0010962504634359964,0.0011124813017068284
r_recall,0.7824296397438595,0.06579275761960321,0.6827402273240814,0.8924071757281081,1855.1072982466162,1341.8700636039205,0.999369063177608,0.0015345198754720976,0.0016800136525740737
